X,Y,Z,V_x,V_y,V_z
-59.39923787839553,-44.02866972091657,1.6000131260199157,-3.1524611738162776,-199.57884083319368,-32.316797859145765
-60.57154198384147,-46.28338149256979,0.9958649276404902,27.85646337851847,-214.62146185551734,-36.34745601412482
-61.17393152459686,-48.73845712996941,0.3380293932419369,61.62098094014897,-222.35112647692375,-38.41861340719409
-61.17393152459686,-51.26154287003059,-0.33802939324193626,96.32083762970808,-222.35112647692375,-38.41861340719409
-60.57154198384147,-53.71661850743021,-0.9958649276404895,130.08535519133858,-214.62146185551734,-36.34745601412482
-59.39923787839554,-55.97133027908343,-1.600013126019915,161.09427974367333,-199.57884083319374,-32.31679785914578
-57.72021842602325,-57.904126089770024,-2.1179042026276456,187.67591213773497,-178.03421500290358,-26.54393276668883
-55.62500000000001,-59.41080841705033,-2.5216185154726496,208.39722969076058,-151.14906071977651,-19.3400773881388
-53.22653636799977,-60.4101516266705,-2.789391721451899,222.1411408099534,-120.3727636101786,-11.093593431601736
-50.654129325242856,-60.848280867529546,-2.9067880977205403,228.16670768939906,-87.36448181743589,-2.249050981697398
-48.04645800124704,-60.70157647884723,-2.8674787752470117,226.1490904589666,-53.903700356870445,6.716738388775395
-45.54410263205949,-59.977947332190425,-2.6735829297806997,216.1970593857895,-21.7942986180218,15.320426654146376
-43.281965843343656,-58.71640446215984,-2.3355535365387636,198.84713104100996,7.232697240159837,23.09818675304769
-41.3820000149115,-56.98495797141702,-1.8716138476065225,175.03464455255659,31.612434357602098,29.630717625349405
-39.94663279636161,-54.876950588446114,-1.3067749717006254,146.0433372306543,50.03059479584387,34.565848840843145
-39.05324520597698,-52.50602553690048,-0.6714875188242538,113.43613795714705,61.4942507582965,37.637526198290544
-37.5,-50.0,0.0,78.97090928492854,64.10831374887566,38.33796226558032
-37.77315499082743,-47.48965910314623,0.6726438160387874,48.17367582018524,60.9816894404441,37.50018580710057
-38.58068177946749,-45.089032149437074,1.3158898696135424,18.72242923937347,51.73846500063591,35.02347128299434
